"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Cloacibacterium"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-3.14590115320022	0	0.375243043222986	5.13172439072909e-17	7.38968312264989e-15	1.02634487814582e-16	7.59495209827905e-15	NA	"prevalence"	235	85
"Shewanella"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.98281601767354	-0.511589220750174	0.287637438319357	1.88293824976427e-13	1.35571553983027e-11	3.76587649952818e-13	1.39337430482543e-11	NA	"abundance"	235	222
"Pseudomonas"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.32329903758446	-0.511589220750174	0.200745910418978	7.27640170339328e-13	3.49267281762877e-11	7.27640170339328e-13	1.79484575350367e-11	NA	"abundance"	235	235
"Comamonadaceae Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.56626566735736	0	0.282269763882444	2.87595022571247e-08	1.03534208125649e-06	5.75190036871404e-08	1.0641015682121e-06	NA	"prevalence"	235	131
"env.OPS 17 Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.4679107417806	0	0.280904560570419	1.73538269970122e-07	4.99790217513952e-06	3.47076509824713e-07	5.13673234540576e-06	NA	"prevalence"	235	113
"Vampirovibrionaceae Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.40098653046713	0	0.279847863162521	5.55025533726189e-07	1.33206128094285e-05	1.11005075939903e-06	1.36906260325881e-05	NA	"prevalence"	235	111
"Cloacibacterium"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-3.14003346713124	-0.511589220750174	0.494547125032332	1.87617310265509e-06	3.37711158477916e-05	1.02634487814582e-16	7.59495209827905e-15	NA	"abundance"	235	85
"Chryseotalea"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.33093995608722	0	0.279223817228462	1.87388359587612e-06	3.37711158477916e-05	3.7477636803125e-06	3.96192160490179e-05	NA	"prevalence"	235	139
"Flavobacterium"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.03026510626658	-0.511589220750174	0.291909807558258	3.34297210091705e-06	4.37625438665505e-05	6.68593302637164e-06	4.94759043951501e-05	NA	"abundance"	235	185
"Acinetobacter"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.29108042847448	0	0.277187299154249	3.19620890427695e-06	4.37625438665505e-05	6.39240759280254e-06	4.94759043951501e-05	NA	"prevalence"	235	136
"Rhizobium"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	-1.27838381243421	0	0.274872499124615	3.30610244272053e-06	4.37625438665505e-05	6.6121939551277e-06	4.94759043951501e-05	NA	"prevalence"	235	114
"Bdellovibrio"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.31769198676467	0	0.286059145737703	4.0977472903589e-06	4.91729674843068e-05	8.19547778918495e-06	5.51332142181533e-05	NA	"prevalence"	235	96
"NS9 marine group Genus"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.54400350264826	0	0.354193329903775	1.30532138434939e-05	0.000144589445651009	2.61062573005961e-05	0.000137990217160294	NA	"prevalence"	235	60
"Flavobacterium"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.52692507188182	0	0.353709842895775	1.5824582735749e-05	0.000157504522270653	6.68593302637164e-06	4.94759043951501e-05	NA	"prevalence"	235	185
"Rubrivivax"	"Parasite_Exposed"	"Exposed"	"Parasite_ExposedExposed"	1.17657060958294	0	0.273055797392234	1.64067210698597e-05	0.000157504522270653	3.28131729592232e-05	0.000161878319932168	NA	"prevalence"	235	118
