"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Sutterellaceae Genus"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.047366377898513	0	0.00826896925196197	1.01496922656137e-08	1.4818550707796e-06	2.02993844282111e-08	1.50215444768762e-06	NA	"prevalence"	235	171
"Clostridium"	"percent_mortality"	"percent_mortality"	"percent_mortality"	0.0382814741324311	0	0.00806211986521524	2.05119720316132e-06	0.000149737395830777	4.10239019891268e-06	0.000151788437359769	NA	"prevalence"	235	150
"Cloacibacterium"	"percent_mortality"	"percent_mortality"	"percent_mortality"	0.0311108563220183	0	0.00709576960244377	1.16293541518288e-05	0.000424471426541752	2.32585730617797e-05	0.000573711468857231	NA	"prevalence"	235	85
"Niveibacterium"	"percent_mortality"	"percent_mortality"	"percent_mortality"	0.0310959071680574	0	0.00813639932278047	0.000132466837875669	0.00386803166596953	0.000264916128288201	0.00490094837333172	NA	"prevalence"	235	164
"Acinetobacter"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0239053264633053	0	0.00668386639233187	0.000348130045683061	0.00847116444495448	0.000696138896837414	0.00858571306099477	NA	"prevalence"	235	136
"Shewanella"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0610742373704156	-0.00163333513177576	0.0142871408956543	0.000424346929438318	0.00885066452828493	0.000424346929438318	0.00628033455568711	NA	"abundance"	235	222
"Nitrosomonas"	"percent_mortality"	"percent_mortality"	"percent_mortality"	0.0237446931293781	0	0.00725154678279316	0.00105874808803983	0.0153285887624721	0.00211637522856572	0.0174013074348737	NA	"prevalence"	235	64
"Rubrivivax"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0225815782819702	0	0.00680435371955503	0.000904389802120636	0.0153285887624721	0.00180796168332709	0.0174013074348737	NA	"prevalence"	235	118
"Undibacterium"	"percent_mortality"	"percent_mortality"	"percent_mortality"	0.0222087123707587	0	0.00678159404598808	0.00105717588451762	0.0153285887624721	0.00211323414818443	0.0174013074348737	NA	"prevalence"	235	127
"Fluviicola"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0210115649419395	0	0.00660987277241439	0.00147878269170144	0.0179918560823675	0.0029553785851536	0.0198263877213249	NA	"prevalence"	235	138
"Culicoidibacter"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0661665624224929	-0.00163333513177576	0.0193698550163825	0.00295930288406801	0.031774760230447	0.00295930288406801	0.0198263877213249	NA	"abundance"	235	228
"Flavobacterium"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0373026128779402	-0.00163333513177576	0.0101613385533625	0.00321508990075539	0.031774760230447	0.00321508990075539	0.0198263877213249	NA	"abundance"	235	185
"Dechloromonas"	"percent_mortality"	"percent_mortality"	"percent_mortality"	0.0286269104472404	0	0.00973153358774916	0.00326453016066237	0.031774760230447	0.00651840316415486	0.0344544167248185	NA	"prevalence"	235	192
"Cetobacterium"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0421552358081224	-0.00163333513177576	0.0126675980285828	0.00423604850910985	0.0386539426456274	0.00423604850910985	0.0241128915133945	NA	"abundance"	235	211
"Rhizobiaceae Genus"	"percent_mortality"	"percent_mortality"	"percent_mortality"	0.0185717775913565	0	0.00663687956130899	0.00513772264752996	0.0416726392521874	0.010249049101057	0.0472020073166728	NA	"prevalence"	235	125
"Saprospiraceae Genus"	"percent_mortality"	"percent_mortality"	"percent_mortality"	0.0205421522794943	0	0.00732597015160099	0.00504700850599094	0.0416726392521874	0.0100685447171223	0.0472020073166728	NA	"prevalence"	235	61
"Bdellovibrio"	"percent_mortality"	"percent_mortality"	"percent_mortality"	-0.0190166792437584	0	0.00684064099516992	0.00543663066829169	0.0417762146089782	0.01084370438356	0.0472020073166728	NA	"prevalence"	235	96
